numero de post,fecha,caption
1,27 de julio de 2021,"¡Llegan 456,300 nuevas dosis Pfizer! Estas dosis serán dirigidas por barrido a la población desde los 16 años, incluyendo pacientes crónicos o con discapacidad desde los 12 años certificados, de la Comarca Emberá Wounaan y los circuitos:

📍5-1
📍5-2
📍2-2
📍2-4
📍9-3
📍8-6
📍8-1"
2,26 de julio de 2021,Desglose de corregimientos con más casos en el país para el 26 de julio de 2021. #UnPanamáMejor #ProtégetePanamá
3,26 de julio de 2021,"Compartimos la actualización de datos sobre #COVID19 en nuestro país.
Lunes 26 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
4,26 de julio de 2021,Comunicado N° 517 #UnPanamáMejor🇵🇦 #ProtégetePanamá
5,26 de julio de 2021,"Nuevas medidas que empezarán a regir a partir de hoy 26 de julio de 2021, para la contención del #COVID19 en nuestro país.
#ProtégetePanamá #UnidosVenceremos"
6,26 de julio de 2021,"#Herrera | Tras los barridos realizados en las últimas dos semanas en la provincia, se colocaron 71,482 dosis de esperanza de la vacuna Pfizer, de las cuales 36,490 se aplicaron a moradores del circuito 6-1, y 34,992 en los circuitos 6-2 y 6-3. #YaFaltaMenos🇵🇦 #PanavaC19"
7,26 de julio de 2021,"#ComarcaNgäbeBuglé | La Región de Salud de la Comarca recibió en el día de hoy 3,000 dosis de vacunas contra el #COVID19 de la farmacéutica Pfizer, para continuar con la inoculación de pacientes crónicos. #YaFaltaMenos🇵🇦 #PanavaC19"
8,26 de julio de 2021,"#LosSantos | Recibimos 5,004 dosis de Pfizer para combatir el #COVID19 y continuar con la reactivación de la provincia. Estas dosis serán dirigidas a niños desde los 12 años con alguna discapacidad o enfermedad crónica certificada, y pacientes que se encontraban en cuarentena durante el barrido."
9,26 de julio de 2021,"#Chiriquí | Con un total de 74,130 dosis aplicadas de Pfizer, cerró este domingo la jornada de vacunación tipo barrido, dirigida a la población desde los 16 años y personas con discapacidad o enfermedades crónicas debidamente certificados, desde los 12 años. #YaFaltaMenos🇵🇦"
10,26 de julio de 2021,"#Coclé | Con éxito culmina barrido de Pfizer en el circuito 2-1, en el que se aplicaron 65,562 primeras dosis a la población desde los 16 años, incluyendo pacientes con discapacidad y enfermedades crónicas certificadas, desde los 12 años. #YaFaltaMenos🇵🇦 #PanavaC19"
11,26 de julio de 2021,"#Veraguas | ¡Se mantiene el proceso de vacunación contra el #COVID19 en los circuitos 9-2 y 9-4! A la fecha en la provincia se han aplicado más de 54,028 dosis de Pfizer a toda la población desde los 16 años. ¡Las vacunas significan salud! #YaFaltaMenos🇵🇦 #PanavaC19"
12,26 de julio de 2021,"#Chiriquí | ¡62,442 dosis de Pfizer llegan a la provincia! Con estas dosis de esperanza reforzamos la vacunación en la región.

Antes de acudir a vacunarse recuerde:
✅Desayunar o almorzar.
✅Mantenerse hidratado."
13,26 de julio de 2021,"#Veraguas | Un nuevo lote de 42,498 dosis de Pfizer contra el #COVID19 llegó esta mañana a la región, las cuales serán destinadas para reforzar la vacunación de los circuitos 9-1 y 9-3, en los distritos de Santiago, Cañazas, San Francisco, Santa Fe y Calobre. #YaFaltaMenos🇵🇦"
14,26 de julio de 2021,"#BocasDelToro | Este lunes continúan las acciones del personal de Salud en los 9 albergues habilitados temporalmente para apoyar a las familias damnificadas por las lluvias, en donde alrededor de 1,000 dosis de la vacuna Pfizer fueron destinadas a los albergues."
15,26 de julio de 2021,"#BocasDelToro | Los Equipos de Respuesta Rápida junto a los Unificados de Trazabilidad se mantienen brindando atención médica, entregando medicamentos y bolsas de alimentos a las familias afectadas que se encuentran en diversos albergues temporales, a causa del mal tiempo."
16,26 de julio de 2021,"#LosSantos | Habilitamos un puesto de hisopado para los que asistan voluntariamente, en la sede de la Cruz Roja Panameña en La Villa de Los Santos. Este puesto brindará servicio gratuito con pruebas rápidas los martes y jueves en horario de 8:00 a.m. a 12:00 p.m.

La instalación viene a complementar el ya existente punto de hisopados en la ciudad de Las Tablas, a un costado del MINSA CAPSI, el cual funciona los días lunes, miércoles y viernes de 8:00 a.m. a 12:00 p.m."
17,25 de julio de 2021,"Distribución de los casos de #COVID19 por provincias y comarcas.
Domingo 25 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
18,25 de julio de 2021,"Compartimos la actualización de datos sobre #COVID19 en nuestro país.
Domingo 25 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
19,25 de julio de 2021,Comunicado N° 516 #UnPanamáMejor🇵🇦 #ProtégetePanamá
20,25 de julio de 2021,"#Chiriquí | Este domingo se realizó con éxito el 5to. día de barrido con la vacuna de Pfizer contra el #COVID19 en los 25 planteles educativos del circuito 4-1, aún con la lluvia, personas desde los 16 años asistieron en busca de su dosis de esperanza. #YaFaltaMenos🇵🇦#PanavaC19"
21,25 de julio de 2021,"#PanamáMetro | La operación #PanavaC19 sigue desarrollándose con éxito en el Colegio Episcopal San Marcos del circuito 8-7, en donde la población desde los 16 años de edad, personas con discapacidad y pacientes de enfermedades crónicas certificadas acuden a inocularse."
22,25 de julio de 2021,"""Hemos firmado con las autoridades costarricenses, un acuerdo binacional que permitirá a los trabajadores, tanto panameños como costarricenses, circular a través de nuestra frontera común."" pág. 60.

¡Leé la nota en la revista ACCIÓN!
https://tinyurl.com/44djw4b6"
23,25 de julio de 2021,#PanamáMetro | Son cientos de jóvenes desde los 16 años de edad del circuito 8-7 que acuden al Instituto América a recibir su primera dosis de esperanza contra el #COVID19. ¡Las vacunas son esperanza y tranquilidad! #YaFaltaMenos🇵🇦 #PanavaC19
